company,position,skill
플래티어,[그루비 SaaS 솔루션] 백엔드 개발자 (2~5년),"Spring, Boot, MongoDB, jQuery, JavaScript, GitHub, AWS, Jira, MySQL, Java"
샐러드랩,파이썬 백엔드 리드,"Python, Django, FastAPI, AWS, Lambda, Amazon, Route, NGINX, Docker"
보이저,[RE : IW] Server 신입 및 경력 채용,"AZURE, Unity, ASPNET, MySQL, NoSql, AWS, C++, C#"
오너클랜,[자율출근] 출퇴근 FREE 백엔드(API) 경력자,"TypeScript, Nodejs, GraphQL, MySQL, MariaDB, Elasticsearch, Go"
에스티씨랩,Backend Engineer,"Java, Kotlin, Spring, Boot, Rust"
리비바이오,[병역특례]백엔드 산업기능요원 모집,"Git, REST, API, Nodejs, AWS"
덴티움,[IT] 백엔드 SW개발 (전자차트),"Nodejs, GraphQL, AWS, RDB, MySQL, PostgreSQL, NestJS"
보이저,[PJ_Youkai] Server 신입 및 경력 채용,"SQL, Redis, C++, NoSql, AZURE, Unity, AI, Docker, Linux"
마이베네핏,서버 개발자,"AWS, REST, API, MySQL, AZURE, Java, Nodejs, JavaScript"
아이쿠카,백엔드 개발자 (5년 이상),"Java, Spring, Boot, AWS, REST, API, Python, PostgreSQL, Apache, HTTP, Server"
이노웍스,웹프로그램(Node.js) 개발 및 유지보수,"Nodejs, HTML, CSS, JavaScript, jQuery, AWS, SQL, Git, REST, API"
라쿠카라차,"백엔드 개발자(주35시간, 4.5일)","Spring, Boot, AWS, Git, Redis"
유비퍼스트대원,Backend developer,"Java, Kotlin, Spring, Boot, CSS, Kafka, Amazon, EKS"
인공지능팩토리,IT 개발자 신입 채용,"AWS, GCP, AZURE, Cloud, CMS, Java, Spring, Boot, TypeScript, NestJS"
서울거래,백엔드 개발자 채용,"Python, Django, Git, AWS, PostgreSQL, Celery, RDB, HTML, CSS, Java"
데이터메이커,서버 및 인프라 개발자 (5년 ~ 10년),"Terraform, Pulumi, Golang, Argo, Linux, Ansible, Python, Shell, GitHub, Actions"
빗썸코리아,Back End - 거래소 서비스개발 (7년↑),"Java, Spring, Boot, Kafka, Redis, MongoDB, Oracle, MySQL, Gradle, Jenkins, ELK"
스마트푸드네트웍스,Backend 개발자,"Java, Kotlin, Spring, QueryDSL, AWS, Git, Jira, Confluence"
무니스,[Nightly] 백엔드 엔지니어,"Apollo, GraphQL, Nodejs, Google, Cloud, Platform, Terraform, PostgreSQL"
아스타,Gen AI 백엔드 개발자 채용,"Docker, AWS, GitHub, Spring, Framework, MachineLearning, AI, Boot, MariaDB, Jenkins, Java"
린컴퍼니,"[격주 4.5일 근무] 린컴퍼니 전산실 ERP, 쇼핑몰 개발 및 운영","Java, Spring, Miplatform, ERP, Oracle"
이지케어텍(edge&next),[분당] 병원정보시스템 진료파트개발자,"WPF, NET, JavaScript, Oracle"
빗썸코리아,Back End - 거래소 서비스 개발(3년↑),"Java, Spring, Boot, Kafka, Redis, MongoDB, Oracle, MySQL, Data, JPA, Gradle, Jenkins"
트럼피아,Java Backend 서비스 개발자 모집,"Elasticsearch, MariaDB, Docker, REST, API, Backendless, Java, JavaScript, Spring, Boot, MySQL"
와탭랩스,백엔드 개발자,"Netty, Spring, Framework, Security, Data, JPA, Java"
이지케어텍(edge&next),병원정보시스템 S/W 경력 개발자,"C#, WPF, NET, Oracle, JavaScript, MySQL"
피앤이시스템즈,EV charger server 개발자,"Nodejs, TypeScript, NestJS, MySQL, Kafka, Redis, Elasticsearch, Docker, WebSocket"
에피소든,"백엔드 개발자(웹,인프라)","TypeScript, NestJS, PostgreSQL"
이지케어텍(edge&next),병원정보시스템 클라우드(EMR) 개발자,"C#, WPF, NET, Oracle, JavaScript"
이지케어텍(edge&next),[원주] 병원정보시스템 S/W 개발자(SI),"JavaScript, Oracle, WPF, NET, MySQL"
아이헤이트플라잉버그스,백엔드 개발자 (5년 이상),"NestJS, TypeScript, Nodejs, Kotlin, Spring, GraphQL, Kubernetes, MySQL, Kafka, AWS"
씨이랩,Python 개발자 [경력],Python
아이디벨,백엔드 개발자 [경력 3~7년],"PHP, Java, Python, Nodejs, C#"
애자일소다,풀스택 소프트웨어엔지니어(4년-7년),"Java, Python, React"
아이디에스앤트러스트,포탈 웹사이트 Back-end 개발자 경력직,"Spring, Framework, Java, Kotlin, React, NoSql, Python, C#, MySQL, Nodejs, Django"
잇올,CTO  (10~15년) 채용 [본사],"React, TypeScript, AWS, JavaScript, Java, AZURE, Nodejs, NestJS, Flutter, iOS"
아이브,백엔드 개발자 (Backend Developer),"NestJS, TypeORM, PostgreSQL, MongoDB, Redis, Kafka, Kubernetes, Argo"
잇올,백엔드 개발자 주니어 채용 [본사],"REST, API, DB, NestJS, Nodejs, PostgreSQL, RDB, SQL, NoSql, Redis, Amazon, SQS"
에이치비엠피,백엔드 개발 (경력 1~5년),"GitHub, MySQL, Nodejs, Amazon, EC, NGINX, Reactjs, Boilerplate, Angular"
의식주컴퍼니(런드리고),백엔드 개발자,"Java, Spring, Boot, Mybatis, MySQL, MariaDB, gRPC, Redis, Kafka, AWS, Linux"
롯데이노베이트,SaaS설계(HR) 계약직 채용,"DB, SQL"
씨맥스,"Spring, jsp, Oracle 개발자(2~4년)","Python, Java, REST, API, Spring, JSP, Oracle"
스페이스맵,백엔드 개발자,"TypeScript, Python, NestJS, FastAPI, AWS, DB"
이브릿지,플랫폼개발팀 Backend 개발자 경력모집,"PHP, MySQL, Apache, HTTP, Server, REST, API, HTML, CSS, Nodejs, jQuery, JavaScript"
카플,풀스택 웹 개발자/이커머스 자동화 대시보드 개발,"React, Nodejs, AWS, Amazon, EC, Python"
에프엘이에스,백엔드 개발자 신입 채용,"PostgreSQL, Kafka, Spring, Boot, Git, GitHub, Docker"
팀프레시,새벽시장 스쿼드 백엔드 개발자 (3년이상),"Kotlin, Spring, Boot, Data, JPA, AWS"
휴먼밸런스,자사 서비스 백엔드 개발자 경력 채용,"Java, AWS, Nodejs, Swagger, UI, TypeScript, Git, Amazon, EC, PostgreSQL"
하이퍼에픽,신입 개발자 채용,"Spring, Boot, Kotlin, PostgreSQL, Git, TypeScript, Nodejs"
유니온커뮤니티,소프트웨어개발 및 유지보수 경력 모집,"Java, REST, API, DB, Spring, React"
더블미디어,백엔드 개발자 모집,"Golang, Redis, SQL, Git"
러닝포인트,백앤드 개발자 채용,"Nodejs, ExpressJS, React, Sequelize, Canvas, Swagger, UI, AWS, AZURE"
애드크림,Python 개발자 모집,"Python, DB, AngularJS, Vuejs, Classic, ASP, C#, ASPNET, MSSQL, REST, API"
에프엘이에스,서버 개발자 경력직 채용,"GitHub, GraphQL, Docker, AZURE, Golang, Kubernetes, AWS"
에프엘이에스,프론트엔드 개발자 경력직 채용,"Nodejs, Java, AWS, Reactjs, Boilerplate"
에프엘이에스,node.js 개발자 경력직 채용,"Nodejs, AWS, REST, API"
에너지엑스,풀스택 기술 리더 개발 팀장 채용,"Java, Spring, Boot, Gradle, Hibernate, TypeScript, React, Nextjs, HTML, CSS, Query"
에프엘이에스,웹서버 개발자 신입 채용,"C++, Java, React, Spring"
아이엠아이,웹(Back-End) 개발자 채용 (근무지/전주),"PHP, MySQL, REST, API, Git, Jira, Laravel, Nodejs, Redis, Spring, Framework"
코워커넷,에이전시 PHP 백엔드 채용[과장],"PHP, MySQL, Laravel, Linux, MariaDB, REST, API"
아이디벨롭,백엔드 Python 경력직 개발자 모집,"Python, Azure, DevOps, AWS"
윈시스템즈,파워빌더/ERP 개발 및 관리 채용,"Power, builder, DB, Oracle, MSSQL, Spring, ERP, Network"
카레딧,백엔드 개발자(Python/Lead),"Sentry, Redis, AWS, MySQL, Python, Django, FastAPI"
트라이닷,API 백엔드 개발자,"SQL, MySQL, REST, API, AWS, NoSql, Infra, FastAPI, AI, Docker, Kubernetes"
위펀,Backend Engineer (경력 5~7년),"MySQL, Spring, Boot, Java, QueryDSL, MariaDB"
한우리아이티,백엔드(승인) 개발자,"C, Java, MySQL, Oracle"
엠투클라우드,백엔드 개발자 경력 정규직 채용,"JavaScript, Spring, MVC, MySQL, RDB, Nodejs, REST, API, AWS, AngularJS, MariaDB"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 신입 채용,"Java, Linux, Oracle"
비즈톡,카카오톡 상담톡/챗봇 서비스 개발자,"C++, C"
엘리펀트키즈에듀테인먼트,웹개발자 신입채용,"JavaScript, Nodejs, React, Vuejs, ASPNET"
한화비전,(키퍼)Back End Engineer(5~9년),"Nodejs, REST, API, PostgreSQL, MongoDB, NoSql, NestJS"
부스터스,Software Engineer (Back-End),"SW, ScrapingBot, Linux, MySQL, Python, PHP"
비즈톡,카카오/네이버 연계시스템 서버 개발자,"Git, Spring, Boot, REST, API, Linux, AWS"
포지큐브,NodeJS 백엔드 주니어 개발자,"Nodejs, MongoDB, Docker, AZURE, MSA, TypeScript, NoSql, REST, API"
비즈톡,웹 서비스 자바 개발자,"REST, API, C++, Linux, Java, C, AngularJS"
에이치에너지,모햇 서비스 프론트엔드 개발,"JavaScript, CSS, HTML, MySQL, Vuejs, Linux, Python"
이글루코퍼레이션,웹어플리케이션 백엔드 경력 (2년↑),"Spring, Framework, MySQL, REST, API, Boot, Java, Data, JPA, Docker, MariaDB"
한국네트웍스,SAP 운영/개발(MM 및 SD모듈),"SAP, ABAP"
오비오,전산팀 서버 구축 기획 경력 채용[12~15년],"MSSQL, ERP"
핀즐,백엔드 및 인프라 개발(10년~),"Nodejs, Amazon, EKS, MongoDB, Atlas, Terraform, Docker, Kubernetes, TypeScript, ElastiCache, Infra"
넥써쓰,컨트랙트/백엔드 개발(이더리움 기반),"Solidity, Nft, Blockchain, TypeScript, Rust"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 경력 채용(8년 이상),"Java, Spring, Boot, Linux, Oracle, Git"
지니언스,PEP팀 ZTNA개발자,"C, C++, Linux, VPN, Mint"
보이저,[PJ_Youkai] 네트워크 엔지니어 채용,"SQL, Redis, C++, NoSql, AZURE, Unity, AI, Docker, Linux, Network"
아인잡,서비스플랫폼 DA/백엔드 개발/PM,"Git, MySQL, Java, AWS, NoSql, Docker, Spring, Framework, Amazon, RDS, CodeCommit, Jenkins"
아이트럭,개발팀장,"MachineLearning, AI"
티투엘,중급 백엔드 개발자 채용,Java
숲,Global 서비스 Back-end개발,"Nodejs, JavaScript, TypeScript, NestJS, ExpressJS, REST, API"
프리윌린,Tech Innovation 워킹그룹 백엔드 개발,"TypeScript, AWS, Spring, Kotlin"
프라이빗테크놀로지,리눅스 개발,"C++, Linux, Qt, VPN, C, Network, MVVM, Git, Jira, Notion, GUI"
지니언스,PNS팀 윈도 개발자,"C, C#, C++, VPN"
지니언스,Windows팀 AV 제품 개발 및 유지보수,"C++, Avaya"
지니언스,윈도우 클라이언트 개발 및 유지보수,"C, C++, Windows"
버블콘,검색엔진 코어개발자 (백엔드),"Python, FastAPI, Flask, Django, REST, API"
지니언스,CloudDev팀 네트워크 보안 개발자,"C#, Python, Go, Linux, JavaScript, Java"
아이트럭,백엔드 개발자,"Nodejs, TypeScript, MySQL, Ubuntu, GitHub, AWS, JavaScript, REST, API"
코비그룹,Backend Junior Engineer(PHP/Python),"Linux, Python, AWS, SQL, Laravel, PHP, PySpark"
지니언스,PNS팀 서버 개발자,"C, C++, Linux, VPN"
지니언스,MultiOS팀 Linux보안 소프트웨어 개발,"C, C++, Linux, OpenSSL, Kafka, GitHub"
엑셈,C 개발자(3년 이상),"C++, C, Linux, Network"
엑셈,Golang 개발자(3년 이상),"Go, Docker, Kubernetes, gRPC, TCPIP, PostgreSQL, Redis, Kafka, GitLab, Prometheus, Grafana"
테스,R/F개발 5~7년 채용,"MATLAB, Network, RF"
핀크,Back-End 서버개발자 경력 (10년이상),"Java, Spring, Mybatis, Data, JPA, Oracle, MariaDB, Git, JavaScript, Jenkins, Cachet"
다우기술,자산운용 시스템 개발,"C, C++, Oracle, Jira, ERP, DB"
