company,position,skill
(주)아이비스,"Embedded SW개발 C++,C 개발자 모집","C++, C, Linux"
휴머스온,Service Engineer(SM/운영),"Sass, CX, JIRA, database, Java"
(주)퍼브,(주)퍼브 솔루션개발팀 개발자 정규직 채용,"Java, JavaScript, SQL"
아하앤컴퍼니(주),[아하] 프론트엔드 엔지니어,"Nodejs, NestJS, TypeScript, SEO"
클라썸,QA 인턴,"Google, Sheets, Figma, SQL, postman"
씨드앤,백엔드 개발자 (5년 이상~10년 이하),"JavaScript, Java, Nextjs, NestJS, expressjs"
(주)드래프타입,웹/프론트엔드 개발자 (3년 이상),"Git, GitHub, AWS, TypeScript, HTMLCSS, JavaScript, REST, API, swagger"
(주)두비스,"신입직원 - 웹/앱 프로그래머, 응용프로그래머","Android, iOS"
씨드앤,백엔드 개발자 (3년 이상~5년 미만),"JavaScript, Java, AWS, Azure, Nextjs, NestJS, expressjs"
뷰메진,[뷰메진]컴퓨터비전 엔지니어 Lead (경력 5년↑),"Linux, OpenCV, Python, Git, Docker, PyTorch, Tensorflow, Github"
(주)큐피스트,백엔드 개발자 (Node.js),"Nodejs, backend"
(주)코딧,QA 매니저,QA
(주)에스아이에이,Cloud Engineer (3년 이상),"Linux, GPU, grafana, Prometheus, argocd, Docker, Kubernetes"
ms인포테크,iOS 개발자 채용,"iOS, swiftios, Autolayout, Git"
(주)다날,다날 정보시스템 개발 경력 채용,"Oracle, MSSQL, SQL, Spring, Batch, REST, API"
(주) 딥노이드,프론트엔드 개발자,"React, TypeScript, JavaScript, SPA, Angular"
(주)얼라이언스인터넷,Alliance Internet 커머스랩 개발자 채용 공고,"Nextjs, FastAPI, PostgreSQL, Redis, LLM"
올거나이즈코리아주식회사,[AI Startup] AI Researcher/Engineer,"Tensorflow, NLP, Keras"
