company_name,position,skill
넥써쓰,프론트엔드 개발자[3~5년],"Blockchain, React Native, Next.js, React"
부스터스,Software Engineer (Front-End),"Vue.js, jQuery, TailwindCSS, Bootstrap, SW, Dashboards by Keen IO"
리브스메드,SW Engineer:어플리케이션,"SW, C, C++, Qt, GUI, Embedded Linux, Linux"
라닉스,웹개발자 (Front End),"HTML5, CSS 3, JavaScript, Python, Node.js, AWS, ExpressJS, Spring, iOS, Android OS"
다우기술,Web/WTS 채널 개발,"Java, Spring Framework, jQuery, Vue.js"
다우기술,공통 SW 아키텍처 개발,"C, Java, Spring Framework, JavaScript, Oracle, jQuery, MySQL, Linux"
다우기술,콜센터 고객상담시스템 개발,"Spring Framework, Vue.js, Java, Spring Boot, jQuery"
비글즈,웹 프론트엔드 개발자 채용(4년 이상),"Next.js, React, JavaScript, TypeScript"
라이터스컴퍼니(쿠키),[Kooky] Flutter앱 개발(6~8),"Flutter, Swift, Kotlin, C, C++, Objective-C, Java, WebSocket"
다우기술,HTS 채널 개발,"JavaScript, Mfc"
이노룰스,[신제품개발] 금융 관련 솔루션 개발자,"Java, Spring Boot, JavaScript, Node.js, TypeScript, React, MySQL, PostgreSQL"
다우기술,투자정보서버 개발,"Linux, C, Redis, Oracle, MySQL"
커넥트웨이브,[스윗트래커]프론트엔드개발(5년 이상),"JavaScript, jQuery, Vue.js, React, Django REST framework, Spring Boot, MSSQL, DB"
라이터스컴퍼니(쿠키),[Kooky]React 프론트엔드(7~10),"Next.js, React Query, TailwindCSS, Git, JavaScript, TypeScript"
딥노이드,[보안AI사업본부] 프론트엔드 개발자,"React, TypeScript"
다우기술,법인매매 시스템 개발,"C, C++"
아스타,Gen AI 서비스 프론트엔드 개발자 채용,"AWS, Git, JavaScript, React, React.js Boilerplate, TailwindCSS, TypeScript, Vite, Next.js, React Query"
씨메스,front End 개발자(threejs),"TypeScript, three.js, Next.js, React, FastAPI, Python, JavaScript"
라이터스컴퍼니(쿠키),[Kooky]Flutter 앱 개발(2~5),"Flutter, Swift, Kotlin, C, C++, Objective-C, Java, WebSocket"
라이터스컴퍼니(쿠키),[Kooky] React 프론트엔드(3~6),"Next.js, React Query, TailwindCSS, Git, JavaScript, TypeScript"
팜피,웹 개발자(WEB Developer Front/Back),"WebGL, Node.js, TypeScript, Vue.js"
케이웨더,프론트엔드 웹개발자 채용(경력8~10년),"Java, Linux, React, Next.js, TypeScript, JavaScript, REST API"
엔카닷컴,시니어 프론트엔드 개발자 (5년이상),"Redux, TypeScript, Next.js, Node.js, Git Flow, AWS, Bamboo, Jenkins, macOS, Jira"
케이웨더,프론트엔드 웹개발자 채용(경력5~7년),"Java, Linux, React, Next.js, TypeScript, JavaScript, REST API"
엘리펀트키즈에듀테인먼트,프론트엔드 개발 경력(5~7년),"JavaScript, Next.js, TypeScript, Git"
엑셈,C 개발자(3년 이상),"C++, C, Linux, Network"
하이,웹 개발자,"TypeScript, GCP, Firebase, Jira, Vue.js, Google Cloud Platform, Markdown, Swagger UI"
엔쓰리엔,Frontend 개발자 (4~6년),"React, React Native, JavaScript"
아이디벨,프론트엔드 개발자 [경력 3~7년],"JavaScript, HTML5, CSS 3"
인피닉,FrontEnd팀 개발자 채용,"Java, JavaScript, Docker, SW, React"
아이디에스앤트러스트,포탈 웹사이트 Front-End 개발자 경력,"Java, Spring Framework, React, Next.js, TypeScript, HTML5, CSS 3, JavaScript, React.js Boilerplate, Vue.js"
아웃스프링,프론트엔드 개발자 채용,"HTML5, CSS 3, PostCSS, JavaScript, React, React Native, Flutter, Vue.js, Next.js, Nuxt.js"
데이터메이커,웹 그래픽(F/E) 개발자 (11년 ~ 15년),"JavaScript, Babel, React, REST API, Nuxt.js, Webpack, HTML5, Vue.js, CSS 3, AngularJS"
데이터메이커,프론트엔드 개발자 (16년 ~ 20년),"JavaScript, ES6, Rust, three.js, Nuxt.js, TailwindCSS, Vue.js, GitHub"
에브리심,시뮬레이션 소프트웨어 개발자,"React, TypeScript, Node.js, Git, AWS, GCP, Docker, Kubernetes, three.js, C++"
