company_name,position,skill
주식회사 오오칠팔구,[경력] 스타트업 백엔드 개발자 채용,"Git, Java, MySQL, React, Spring, Spring Security, rabbitmq, restful, api"
장가 컴퍼니,"PHP 개발자 / fastAPI 개발 (경력무관, 4000이상)","PHP, Python"
데이터메이커,백엔드 개발자,"Django, Python, drf, PostgreSQL, Redis, Git"
(주) 딥노이드,백엔드 개발자,"Java, Spring Boot, JPA, NoSQL, MongoDB, Kotlin, Kafka, Kubernetes"
(주)팜존에스엔씨,[팜존에스엔씨] JAVA 주니어(1~3년) 경력 개발부문 채용,"JavaScript, Java, MySQL, JSP, MSSQL, Oracle"
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 백엔드 개발자,"Node.js, NestJS, DBMS/RDBMS, NoSQL, MariaDB, PostgreSQL, MongoDB"
(주)디에스랩글로벌,백엔드 개발자,"알고리즘, FastAPI, Django, AWS, Azure, Docker, Kubernetes, DBMS/RDBMS"
(주) 미스터카멜,DevOps Engineer,"C#, Selenium, Elasticsearch, Redis, MySQL, AWS"
플릭,Founding Backend Engineer,"TypeScript, 인공지능(AI), AI Agent, Google Cloud Platform, cursor, RAG, 머신러닝"
주식회사 코아메소드,(주)코아메소드 웹개발 경력직 모집,Java
(주)스플랩,[인재풀] Backend Developer,"Java, Kotlin, Spring Boot, JPA, JUnit, AWS, MySQL, Redis, GitHub"
주식회사 젠스타파트너스,Back-end Engineer (5년 이상),"TypeScript, NestJS, JavaScript, MongoDB, Docker, GraphQL, AWS"
(주)크라우드웍스,[크라우드웍스] AI플랫폼팀 Full-stack 개발자(Senior),"Java, Python, LLM, 머신러닝, RAG, Docker"
프로베디,앱테크 서비스 관련 APP 백엔드 개발(Node.js) - 프리랜서,"Node.js, MongoDB, MVVM, grpc, Kafka"
(주)엠앤디,"웹개발 - 백엔드 ( Python, FastAPI, Pandas, Docker )","Python, FastAPI, Pandas, Docker, pytest, PostgreSQL, SQLAlchemy, Kafka, Kubernetes"
(주)팜존에스엔씨,[팜존에스엔씨] JAVA 시니어(4년) 경력 개발부문 채용,"JavaScript, Java, MySQL, JSP, MSSQL, Oracle"
빅테크플러스,[빅테크플러스] 백엔드 엔지니어 채용,"Java, Kotlin, Spring Boot, PostgreSQL, Python, REST API, multithread, 네이버 클라우드, Docker, vmware"
런치팩 주식회사,"[런치팩_풀스택] 테마, 서비스 부분수정 개발(리드급)","Vue.js, 플랫폼 비즈니스, Django"
(주)토토부킹,[몽키트래블] AI 서비스 개발자 채용,"PHP, Elasticsearch, Kafka, Redis, Airflow, JavaScript, REST API, Python, AWS"
(주)트레블씨투비,Node.js 백엔드 개발자,"TypeScript, Node.js, NestJS, MySQL, TypeORM, Redis, AWS, Git, GitHub"
이빗,[EBIT] AI Trainer (Data Labeler) 개발자(Coder) 모집,"Python, JavaScript, Java, C#, C, C++, PHP"
주식회사그로잉랩,백엔드 시니어 개발자,"Node.js, MySQL, AWS, Github"
더블디,[더블디] NodeJS/Spring 백엔드 개발자 채용 공고,"Node.js, Spring"
