company,position,skill
픽소(PIXO),iOS 엔지니어(주니어),"Focus, Keeper, Shift, days, Logoshop, VICO, iOS, Offlinefirst, UX, CICD, Xcode, Cloud, GitHub, Actions, Swift, Concurrency, UIKit, SwiftUI, Core, Data, ProtocolOriented, ProgrammingPOP, HIG, CS, Apple, Human, Interface, Guidelines, API, Thinking, asyncawait, Slack, Notion, httpspixonotionsiterecruitios"
쿠팡,[Coupang]Global Operations Technology 개발자,"Global, Operations, Technology, Java, platform, FrontBack, office, dependency, Spring, Web, Application, MSA, Microservices, Cloud, Event, Driven, Architecture, JPA, Hibernate, ORM, ECommerce, NoSQLMemcached, Redis"
비큐에이아이,서비스개발본부 AI개발자,"NLP, OCR, RAG, FastAPI, Spring, Boot, API, AI, LLMRAG, Elastic, Search, Vector, DB, LLM"
마지글,IT 컨설턴트,"IT, LLM"
룩코,백엔드 엔지니어 (2~7년차),"Go, Echo, Gorm, AWS, GCP, Postgresql, MongoDB, DynamoDB, Elasticsearch, Redis, RabbitMQ, ECS, EC2, Batch, Lambda, Git, Github, Slack, Jira, Docker, CICD, mockery, Action, Kibana, Cloudwatch, Grafana, Prometheus, Tempo, Pyroscope, ECommerce, B2B, LookoAI, Python, Java, Vector, Search, Nodejs"
스마트마인드,백엔드 개발자 (AI/LLM 서비스),"AILLM, FastAPI, LLM, RAG, Docker, GPU, AI, AIMLLLM, Celery, API, DB, SQL, ORM, GRIT, Huggingface, Langchain, vLLM, RAGRetrievalAugmented, Generation, NVIDIA, CUDA, Linux, Ubuntu, CentOS, RHEL, AWS, Git, Gitflow, ClickUp, Jira"
스마트마인드,데이터 사이언티스트,"LLM, Large, Language, Model, FinetuningRAGPrompt, Engineering, DLML, AI, NLP, PyTorch, Transformers, Finetuning, RAG, Knowledge, Distillation, Quantization, Pandas, Matplotlib, Hugging, Face, Python, numpy, pandas, scikitlearn, matplotlib, SQL, Git, Agile"
알지에이아이엔씨(RGA Inc.),로봇 소프트웨어 플랫폼 개발 연구원 (책임/선임),"SDK, CC++, Linux, Git, ROSROS2, IPC, Embedded, Server, Remote, Device"
알지에이아이엔씨(RGA Inc.),전장설계 개발 연구원,"EmbeddedMCU, MCU, STM32F4F7, TIAnalog, Device, DSP"
테크타카(ARGO),Sr.Backend Engineer (Java / Spring),"Architecture, Design, High, Preformence, Api, Java, Spring, Framework, RESTful, API, PostgreSql, MySQL, DB, SQL, Operating, Systems, OOP, Hibernate, Linux, AI, Tool, RabbitMQ, Kafka"
테크타카(ARGO),Jr.Backend Engineer (Java / Spring),"Architecture, Design, High, Preformence, Api, Java, Spring, Framework, RESTful, API, PostgreSql, MySQL, DB, SQL, Operating, Systems, OOP, Hibernate, Linux, AI, Tool, RabbitMQ, Kafka"
스테이폴리오,백엔드 개발자[Ruby on Rails],"Ruby, on, Rails, AWS"
