company,position,skill
데이터메이커,DevOps 엔지니어 (11년 ~ 15년),"Terraform, Pulumi, GoLand, Argo, Linux, Ansible, Kubernetes, Python, Shell, GitHub, Actions"
모빌린트,NPU Verification Engineer,"C, C++, Linux, DeepLearning, MachineLearning, Embedded"
에이디티,"GUI S/W 설계,개발 채용(10년↑)","Visual, C++, C#, JavaScript, Linux, REST, API"
제이티,제어개발 경력 채용,"C++, C#"
제이티,전장개발 경력 채용,Autocad
에이디티,"GUI S/W 설계,개발 채용(5년↑)","Visual, C++, C#, JavaScript, Linux, REST, API"
플라잎,[로봇] 강화학습 엔지니어 채용,"C, C++, Python, MachineLearning, TensorFlow, PyTorch, Linux"
모빌린트,System Software Engineer,"Linux, C++, Embedded, sw, C"
경일게임아이티아카데미,유니티 게임개발 과정 교강사(신입),Unity
빗썸코리아,블록체인 서비스 개발 (시니어),"Blockchain, Java, Spring, MySQL, Kafka, Redis, AWS"
두두원,C/C++ 이동통신 코어 백엔드 개발자,"C, C++, Network, Linux, Ubuntu, CentOS"
건솔루션,PROJECT관리 PM/PL(7~10년),"C++, MSSQL, MySQL, Python, JSP, SQL, Java"
제이티,선행개발 경력 (6~10년),"HW, FW, MCU, FPGA, Linux, C, C++, C#, Orcad, Pads"
인포그랩,Platform/SRE 엔지니어,"GitLab, KS, Kubernetes, Helm, Docker, Argo, AWS, Grafana, Amazon, EKS, Git"
커넥트웨이브,[CC CTO] Dev&AI Ops,"Kubernetes, Docker, Kafka, Hadoop, Spark, Python"
아파트아이,프론트엔드 개발자 (대리/과장급),"Nextjs, HTML, JavaScript, React, Git, Jira, Zustand"
씨메스,AI Robotics (Embodied AI) Engineer,"C++, Python, Git, gRPC, ZeroMQ, ROS, PyTorch"
모빌린트,NPU Core Engineer (RTL),"C, C++, Linux, DeepLearning, MachineLearning, Embedded"
에스디티,[강남/선릉] DX 하드웨어 개발 경력,MCU
애자일,SaaS 솔루션  개발 (경력 6~8),"Java, Jira, Oracle, DB, Spring, Boot, Bitbucket, Gradle, Slack, Backpack"
엠트리센,시스템 소프트웨어 엔지니어 채용 (3년이상),"C++, Python, Rust, Linux, Git, JavaScript, Docker"
인터콘시스템스,H/W 엔지니어 모집(경력 6~10년),"HW, Orcad, Pads, Autocad, MCU, FPGA"
필라넷,MS엔지니어 채용(경력5~10년),"Microsoft, Office, Windows, Server, Active, Directory, Network, AZURE, MSSQL, Teams, SharePoint"
뉴빌리티,Front-end Web Developer,"ES, React, Nextjs, TypeScript"
불마켓랩스(BullMarketLabsCo.Ltd.),Site Reliability Engineer,"AWS, Amazon, EC, Container, Service, RDS, KS, Terraform, GitHub, Actions, Java, Spring, Boot, Kubernetes, Docker"
네비웍스,Unreal 클라이언트 개발자 채용(경력),"C++, Unreal, Engine"
씨드앤,데이터 엔지니어(6~10년),"Linux, Kafka, AWS, AZURE, Java"
호전실업,자동화 시스템 상용화 개발자,"C#, C++, SW, OpenCV"
에이치에너지,모햇 서비스 시니어 개발자,"Python, Linux, MySQL, Kubernetes, MongoDB, Docker, Redis, JavaScript, CSS, HTML"
유디아이디,쇼핑몰서비스 PHP 개발자 3년이상 모집,"PHP, MySQL, MongoDB, Laravel, GitLab, JavaScript, jQuery"
