company,position,skill
주식회사 유니유니,[주식회사 유니유니] ‘AI 개발자’ 채용,"AI, Python"
주식회사 사각,소프트웨어 엔지니어 구인,"Git, JavaScript, Python, NestJS, FastAPI, Nextjs, Vuejs, Flutter, PostgreSQL, MongoDB"
TIM Robotics,React.JS (Next.JS) 프론트엔드 엔지니어,"reactjs, Nextjs, TypeScript, TypeORM"
(주)인터프로커뮤니케이션,[인터프로인디고] 웹 사이트 개발자 모집,"PHP, HTMLCSS, JavaScript"
오드컨셉주식회사,소프트웨어 엔지니어,"JavaScript, HTMLCSS, React, Vuejs, Git"
(주)얼라이언스인터넷,Alliance Internet 커머스랩 개발자 채용 공고,"Nextjs, FastAPI, PostgreSQL, Redis, LLM"
안전성평가솔루션(주),"JAVA, 프론트 & 백엔드 선임 개발자(정규직)","Java, Spring, Boot"
브이피피랩,Data Scientist 경력 채용,"Python, Tensorflow"
소명소프트(주),중급 JAVA 개발자  인재채용,"Java, JSP, SQL, Spring, MySQL, MariaDB, Github"
해줌,프론트엔드 개발 팀장,"HTMLCSS, JavaScript, React, Vuejs"
(주)코딧,[데이터팀] 백엔드 개발자 인턴 채용 (7월 31일 까지),"JavaScript, Nodejs, TypeScript, Docker, MySQL, Elasticsearch"
(주)뷰런테크놀로지,Perception Engineer,"C, C++, Python"
(주)애즈랜드,프론트엔트/백엔드,"PHP, JavaScript, jQuery, Ajax, MySQL"
룰루랩,[룰루랩] 서버/백엔드 개발자,"Java, Kotlin, devops, mlops"
하이프로토콜,[Web3] 크로스체인 프로토콜 백엔드 시니어 개발자 채용,"TypeScript, Express, DBMSRDBMS, PostgreSQL, AWS, awsserverless, Redis, websockets"
클라코퍼레이션,백엔드 개발자,"JavaScript, TypeScript, NestJS, MySQL, Redis, AWS, amazonopensearch"
(주)다날,다날 결제시스템 서버개발자 증원 채용 - 성장하는 팀과 함께할 동료를 찾습니다,"Java, Spring, Boot, springframework, Batch, JPA, Docker, elk, MySQL, MSSQL, PostgreSQL"
휴머스온,Backend Engineer(메세징 서비스 기술 운영),"Linux, MySQL, Oracle"
텔레픽스 주식회사,백엔드 개발자,"Python, JavaScript, FastAPI, PostgreSQL, MongoDB, Redis, AWS"
효성에프엠에스,효성에프엠에스 백엔드 개발자채용,"Python, AWS, TDD"
베링랩,프론트엔드 개발자,"React, TypeScript, Nextjs, frontend"
(주)누아,웹(Web) 프론트엔드 개발자,TypeScript
버터소프트 주식회사,백엔드 개발자,"Java, Kotlin, Spring, Boot, PostgreSQL, MySQL, JPA, querydsl, Docker, Git"
슬릭코퍼레이션,Front-end Engineer,"React, TypeScript, Jest, Webpack, JavaScript, Flutter, Nextjs, Parcel"
빅테크플러스,[빅테크플러스] 웹크롤링 (스크래핑) 엔지니어 채용,"Python, infrastructure, api"
패스트뷰,백엔드 개발자 (5년 이상),"AWS, Nodejs, Kotlin, Spring, PHP, Confluence, Java, Boot, MySQL"
(주)필라넷,Microsoft Engineer 채용,"Windows, Server, Microsoft, microsoft, Azure, MSSQL, SharePoint, Teams"
주식회사 제로엑스플로우,Frontend Engineer(5년 이상),"React, JavaScript"
(주)큐피스트,백엔드 개발자 (Node.js),"Nodejs, backend"
베링랩,리드 NLP 개발자,"NLP, transformer, PyTorch, LLM"
(주)드래프타입,웹/프론트엔드 개발자 (3년 이상),"Git, GitHub, AWS, TypeScript, HTMLCSS, JavaScript, REST, API, swagger"
프록시펙토리,프론트엔드 개발자,"React, Native, HTMLCSS"
센트비,Backend Engineer (Go),"Go, grpc, PostgreSQL, Redis, Git, Docker, argocd"
안전성평가솔루션(주),"JAVA, 프론트 & 백엔드 개발자 팀장급(정규직)","Java, Spring, Boot, Vuejs"
한국프롭테크,백엔드 개발자,Python
(주)두비스,"신입직원 - 웹/앱 프로그래머, 응용프로그래머","Android, iOS"
프로베디,앱테크 서비스 관련 APP 프런트엔드 개발 (Flutter) - 프리랜서,"Flutter, MVVM, grpc, GitHub"
해킹그로스길드,시니어 솔루션 엔지니어 채용,"mixpanel, GA, Amplitude, Google, Analytics, Tag, Manager, iOS, Android, Python"
씨드앤,백엔드 개발자 (3년 이상~5년 미만),"JavaScript, Java, AWS, Azure, Nextjs, NestJS, expressjs"
와탭랩스,백엔드 에이전트 개발자(Node.js),"Nodejs, SQL, DBMSRDBMS, MSA"
주식회사 페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 경력직,"Nodejs, TypeScript, NestJS, MySQL, awsrds, rabbitmq, Nextjs, React, Native"
한국전력정보(주),신재생 에너지 거래 플래폼 소프트웨어 개발,"api, Java, NoSQL, Python, AWS, Docker, Kafka"
주식회사 페칭,[페칭] 패션 플랫폼 Node.js 백엔드 개발자 주니어 [보충역],"Nodejs, TypeScript, NestJS, MySQL, ecs, rabbitmq, React, Native"
휴머스온,AI 개발자(ML/Deep Learning/생성형 소재),"Tensorflow, PyTorch, DBMSRDBMS, NoSQL, MySQL, MongoDB, AI"
(주)스플랩,[인재풀] Frontend Developer,"TypeScript, React, Nextjs, Native"
찾아줘부동산,프롭테크 웹서비스 개발 리딩,"Java, Spring, Boot, JPA, MariaDB"
(주) 딥노이드,데이터 엔지니어,"Python, airflow, Git, Apache, Spark, Kafka, PostgreSQL"
주식회사 유니유니,[주식회사 유니유니] ‘개발 리드’ 채용,"Java, React, Github, Nodejs, AWS"
런치팩 주식회사,[런치팩] 테마 프론트엔드 개발(시니어),Vuejs
와탭랩스,백엔드 에이전트 개발자(C&C++),"C, C++, SQL, DBMSRDBMS, MSA"
(주)크라우드웍스,[크라우드웍스] 데이터플랫폼팀 Full-stack 개발자,"vue, React, TypeScript, css, Nuxtjs, nextjs, Sass, Java, Spring, Boot, Git"
테이퍼랩스,Backend Engineer,"AWS, Lambda, Nodejs, Elasticsearch, openai, AI, NLP"
주식회사 다이노즈,React / Next.js 웹개발자 (경력 2년 이상),"React, Nextjs, TypeScript, HTMLCSS, Firebase, Git, GitHub, githubactions"
(주)캐시멜로,핀테크 기업 [캐시멜로] DevOps 개발자 채용(경력 3년이상),"Kubernetes, Java, Spring, Boot, Docker, Prometheus"
주식회사 나두모두,[신입/인턴] 소프트웨어 개발자,"Nextjs, React, Nodejs, AWS, TypeScript"
휴머스온,Service Engineer(SM/운영),"Sass, CX, JIRA, database, Java"
룰루랩,[룰루랩] AI개발자 (3D 피부분석),"Python, PyTorch"
솔로트립,"프론트엔드 개발자 (React, React.Native)","React, Native, GraphQL"
(주)에이티앤피파트너즈,프론트엔드 개발자 경력 2년 이상,"React, Nodejs, TypeScript, Nextjs, awsec, nginx, githubactions, Figma"
인텔렉투스,Backend(API) SW Engineer,"TypeScript, serversidejavascript, database, DBMSRDBMS, AWS, Google, Cloud, Platform, awsserverless"
(주)비와이엔블랙야크,[BYN블랙야크] IT 부문 경력직 상시 인재 pool 등록,"Java, AWS, React, SQL, Spring, Boot, Nodejs, MySQL, Docker, Kotlin, Vuejs"
21세기전파상,프론트엔드 개발자,"Git, Github, MySQL, SQL, React, Native, JavaScript, Nodejs, AWS"
체크멀,윈도우 어플리케이션 개발자,"C, C++, mfc, visualstudio"
21세기전파상,시니어 개발자,"Git, Github, AWS, MySQL, SQL, React, Native, JavaScript, Nodejs"
주식회사 오오칠팔구,[경력] 스타트업 백엔드 개발자 채용,"Git, Java, MySQL, React, Spring, Security, rabbitmq, restful, api"
(주)에스아이에이,Cloud Engineer (3년 이상),"Linux, GPU, grafana, Prometheus, argocd, Docker, Kubernetes"
장가 컴퍼니,"PHP 개발자 / fastAPI 개발 (경력무관, 4000이상)","PHP, Python"
미리디,[커머스프로덕션] Jr. QA 엔지니어,"Slack, Confluence, JIRA"
(주)편안랩스,프론트엔드 개발자,"React, Nextjs, TypeScript, Native, JavaScript"
데이터메이커,백엔드 개발자,"Django, Python, drf, PostgreSQL, Redis, Git"
홉스,시니어 프론트엔드 엔지니어,"HTMLCSS, React, TypeScript, Nextjs, Jest, Git, ESLint, Github, githubactions"
(주) 딥노이드,백엔드 개발자,"Java, Spring, Boot, JPA, NoSQL, MongoDB, Kotlin, Kafka, Kubernetes"
(주)팜존에스엔씨,[팜존에스엔씨] JAVA 주니어(1~3년) 경력 개발부문 채용,"JavaScript, Java, MySQL, JSP, MSSQL, Oracle"
(주)올리브헬스케어,윈도우용 의료기기  SW 개발자 채용,"C++, C#, wpf, GUI"
한솔코에버주식회사,RPA 구축 및 유지보수 담당자 모집,"UiPath, Python, VBA, C#"
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 백엔드 개발자,"Nodejs, NestJS, DBMSRDBMS, NoSQL, MariaDB, PostgreSQL, MongoDB"
(주)디에스랩글로벌,백엔드 개발자,"FastAPI, Django, AWS, Azure, Docker, Kubernetes, DBMSRDBMS"
(주) 미스터카멜,DevOps Engineer,"C#, Selenium, Elasticsearch, Redis, MySQL, AWS"
플릭,Founding Backend Engineer,"TypeScript, AI, Agent, Google, Cloud, Platform, cursor, RAG"
(주)써머스플랫폼,[스마트택배] 스윗트래커CIC_인프라 담당 채용,"AWS, Linux"
